qid,fm_video,question_type,sampling,binary_no_score,binary_yes_score,question
0,3_C,rate,uniform,,,"Assess the left video's maximal shoulder elevation relative to the right video at the ending position. Rate as follows: 0 (no elevation), 1 (partial elevation), or 2 (full elevation comparable to the right video). Answer directly."
1,4_C,rate,uniform,,,"Assess the left video's maximal shoulder retraction relative to the right video at the ending position. Rate as follows: 0 (no shoulder retraction observed), 1 (partial shoulder retraction achieved), or 2 (full shoulder retraction to behind the torso, comparable to the right video). Answer directly."
2,5_I,rate,uniform,,,"Assess the patient’s shoulder abduction in the provided video at the ending position. Rate the performance on a scale of 0 to 2: 0 (no abduction observed), 1 (arm raised but below shoulder level), or 2 (arm abducted to shoulder height or higher, reaching >= 90 degrees). Answer directly."
3,6_C,rate,uniform,,,"Assess the left video's maximal shoulder external rotation relative to the right video at the ending position, focusing on the visibility of the elbow crease. Rate as follows: 0 (no external rotation), 1 (partial external rotation), or 2 (full external rotation with elbow crease fully visible, comparable to the right video). Answer directly."
4,7_C,rate,uniform,,,"Assess the left video's maximal elbow flexion relative to the right video, focusing on the ending position. Rate as follows: 0 (no flexion), 1 (partial flexion), or 2 (full flexion with forearm closely approaching upper arm, comparable to the right video). Answer directly."
5,8_C,rate,uniform,,,"Assess the left video's maximal forearm supination relative to the right video, focusing on the visibility of the back of the hand. Rate as follows: 0 (no supination), 1 (partial supination; <1/2 back of hand visible), or 2 (full supination with >= 1/2 back of hand visible, comparable to the right video). Answer directly."
6,9_C,rate,uniform,,,"Assess the left video's maximal shoulder adduction and internal rotation relative to the right video, focusing on whether the arm crosses the midline to the opposite knee. Rate as follows: 0 (no adduction/internal rotation), 1 (partial crossing or effort), or 2 (full crossing to the opposite knee, comparable to the right video). Answer directly."
7,10_C,rate,uniform,,,"Assess the left video's maximal elbow extension relative to the right video, focusing on the degree of straightening. Rate as follows: 0 (no extension), 1 (partial extension), or 2 (full extension to 0 degrees, comparable to the right video). Answer directly."
8,11_C,rate,uniform,,,"Assess the left video's maximal forearm pronation relative to the right video, focusing on palm orientation. Rate as follows: 0 (no pronation), 1 (partial pronation; palm not fully down), or 2 (full pronation with palm facing downward, comparable to the right video). Answer directly."
9,12_C,rate,uniform,,,"Assess the left video's maximal hand-to-lumbar spine movement relative to the right video, focusing on how far the back of the hand reaches. Rate as follows: 0 (no finger passed ASIS or Anterior Superior Iliac Spine), 1 (≥1 finger passed ASIS but cannot touch lumbar spine), or 2 (back of hand reaches lumbar spine, comparable to the right video). Answer directly."
10,13_I,binary,uniform,0,,"Is the arm down at the side at onset? Answer 'Yes' or 'No' directly."
11,13_I,binary,uniform,0,,"Is the elbow fully extended (straight) at onset? Answer 'Yes' or 'No' directly."
12,13_I,binary,uniform,0,,"Is the forearm in a neutral position (thumb pointing forward) at onset? Answer 'Yes' or 'No' directly."
13,13_I,binary,uniform,,1,"After beginning to move, does the patient flex their elbow? Answer 'Yes' or 'No' directly."
14,13_I,binary,uniform,,1,"After beginning to move, does the patient abduct their shoulder? Answer 'Yes' or 'No' directly."
15,13_I,binary,uniform,,1,"After beginning to move, does the patient pronate their forearm? Answer 'Yes' or 'No' directly."
16,13_C,rate,uniform,,,"Assess the left video's maximal shoulder flexion (0 degrees -> 90 degrees) relative to the right video. Rate as follows: 1 (partial elevation) or 2 (full elevation comparable to the right video). Answer directly."
17,14_I,binary,uniform,0,,"Is the shoulder neutral at onset? Answer 'Yes' or 'No' directly."
18,14_I,binary,uniform,0,,"Is the elbow flexed to 90 degrees and tucked in at the side at onset?"
19,14_I,binary,uniform,,1,"After beginning to move, does the patient flex their elbow? Answer 'Yes' or 'No' directly."
20,14_I,binary,uniform,,1,"After beginning to move, does the patient abduct their shoulder? Answer 'Yes' or 'No' directly."
21,14_C,rate,uniform,,,"Assess the left video's maximal forearm pronation-supination relative to the right video. Rate as follows: 1 (partial movement) or 2 (full range of motion with their wrist comparable to the right video). Answer directly."
22,15_I,binary,uniform,0,,"Is the shoulder neutral at onset? Answer 'Yes' or 'No' directly."
23,15_I,binary,uniform,0,,"Is the elbow fully extended (0 degrees) at onset? Answer 'Yes' or 'No' directly."
24,15_I,binary,uniform,0,,"Is the forearm pronated (palm facing down) at onset? Answer 'Yes' or 'No' directly."
25,15_I,binary,uniform,,1,"After beginning to move, does the patient flex their elbow? Answer 'Yes' or 'No' directly."
26,15_I,binary,uniform,1,,"After beginning to move, does the patient continue to keep their forearm pronated (palm facing down)? Answer 'Yes' or 'No' directly."
27,15_C,rate,uniform,,,"Assess the left video's maximal shoulder abduction relative to the right video. Rate as follows: 1 (performed partially) or 2 (shoulder abducted to 90 degrees, relative to the right video). Answer directly."
28,16_I,binary,uniform,0,,"Is the shoulder flexed at 90 degrees at onset? Answer 'Yes' or 'No' directly."
29,16_I,binary,uniform,0,,"Is the elbow fully extended (0 degrees) at onset? Answer 'Yes' or 'No' directly."
30,16_I,binary,uniform,0,,"Is the forearm in a neutral position (thumb pointing up) at onset? Answer 'Yes' or 'No' directly."
31,16_I,binary,uniform,,1,"After beginning to move, does the patient abduct their shoulders? Answer 'Yes' or 'No' directly."
32,16_I,binary,uniform,,1,"After beginning to move, does the patient flex their elbow? Answer 'Yes' or 'No' directly."
