"id","data","input_len","labels","output_type","raw_predictions","filtered_predictions","llm_score"
"0","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","[""The patient performs a series of movements with their right hand, guided by the therapist. They move the blue cylinder back and forth across the mat, following a specific path marked by circular targets. The patient's movements are deliberate and controlled, indicating a focus on precision and coordination.""]","The patient performs a series of movements with their right hand, guided by the therapist. They move the blue cylinder back and forth across the mat, following a specific path marked by circular targets. The patient's movements are deliberate and controlled, indicating a focus on precision and coordination.","85"
"1","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","[""The patient performs a series of movements with their right hand, guided by the therapist. They lift and rotate the blue cylinder, place it back on the table, and repeat the process. The patient also moves their hand in a circular motion, following the therapist's instructions.""]","The patient performs a series of movements with their right hand, guided by the therapist. They lift and rotate the blue cylinder, place it back on the table, and repeat the process. The patient also moves their hand in a circular motion, following the therapist's instructions.","85"
"2","m","1","['wet toothbrush', 'apply toothpaste to toothbrush', 'replace cap on toothpaste tube', 'brush teeth', 'rinse toothbrush and mouth', 'place toothbrush back on countertop']","generate_until","['The patient is seen washing their hands, applying hand sanitizer, and then brushing their teeth.']","The patient is seen washing their hands, applying hand sanitizer, and then brushing their teeth.","20"
"3","m","1","['pick up comb', 'comb both sides of head']","generate_until","['The patient performs a series of arm and hand movements, including placing their hands on the table, raising one arm, and touching their head.']","The patient performs a series of arm and hand movements, including placing their hands on the table, raising one arm, and touching their head.","35"
"4","m","1","['remove deodorant cap', 'twist deodorant base a few times', 'apply deodorant', 'replace deodarant cap', 'untwist the deodorant base', 'put deodorant on table']","generate_until","['The patient performs a series of exercises, moving their arms in various directions and positions.']","The patient performs a series of exercises, moving their arms in various directions and positions.","10"
"5","m","1","['open water bottle', 'pour water into cup', 'take a sip of water', 'place cup on table', 'replace cap on bottle']","generate_until","['The patient reaches for a water bottle, opens it, pours water into a cup, and drinks from the cup.']","The patient reaches for a water bottle, opens it, pours water into a cup, and drinks from the cup.","85"
"6","m","1","['fill tub with water', 'dip washcloth on the right side into water', 'wring the washcloth', 'wipe each side of face with wet washcloth', 'place first washcloth back on countertop', 'use washcloth on the left side to dry face', 'place second washcloth back on countertop']","generate_until","['The patient turns on the faucet, wets a towel, and then uses it to wipe their face.']","The patient turns on the faucet, wets a towel, and then uses it to wipe their face.","20"
"7","m","1","['remove bread from plastic bag', 'put the bread on plate', 'open margarine pack', 'spread margarine on bread', 'cut bread into four pieces', 'cut off some bread', 'eat a small bite-sized piece of bread']","generate_until","['The patient, wearing a purple shirt and a black wrist brace, is seated at a table with a white plate, a knife, and a small container. They open the container, take out a substance, and spread it onto a slice of bread using the knife.']","The patient, wearing a purple shirt and a black wrist brace, is seated at a table with a white plate, a knife, and a small container. They open the container, take out a substance, and spread it onto a slice of bread using the knife.","85"
"8","m","1","['wear glasses', 'return hands to table', 'remove glasses', 'place glasses on table']","generate_until","['The patient performs a series of movements with their hands and arms, including placing their hands flat on the table, lifting and moving their hands, and manipulating an object.']","The patient performs a series of movements with their hands and arms, including placing their hands flat on the table, lifting and moving their hands, and manipulating an object.","25"
"9","m","1","['move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center']","generate_until","['The patient performs a series of movements with their right arm, lifting the cup and moving it in different directions.']","The patient performs a series of movements with their right arm, lifting the cup and moving it in different directions.","20"
"10","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","['The patient performs a series of movements with their right hand, including lifting and rotating the blue cylinder, while keeping their left hand stationary.']","The patient performs a series of movements with their right hand, including lifting and rotating the blue cylinder, while keeping their left hand stationary.","85"
"11","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","['The patient performs a series of movements with their right hand, including lifting and placing the blue cylinder on different circles on the mat.']","The patient performs a series of movements with their right hand, including lifting and placing the blue cylinder on different circles on the mat.","85"
"12","m","1","['wet toothbrush', 'apply toothpaste to toothbrush', 'replace cap on toothpaste tube', 'brush teeth', 'rinse toothbrush and mouth', 'place toothbrush back on countertop']","generate_until","['The patient takes a pill, drinks water from a cup, and then eats a snack.']","The patient takes a pill, drinks water from a cup, and then eats a snack.","0"
"13","m","1","['pick up comb', 'comb both sides of head']","generate_until","[""The patient performs a series of movements with their right arm, guided by the therapist. They start with their arm resting on the table, then lift it up and move it in a circular motion, repeating this action several times. The patient also moves their arm back and forth, following the therapist's instructions.""]","The patient performs a series of movements with their right arm, guided by the therapist. They start with their arm resting on the table, then lift it up and move it in a circular motion, repeating this action several times. The patient also moves their arm back and forth, following the therapist's instructions.","25"
"14","m","1","['remove deodorant cap', 'twist deodorant base a few times', 'apply deodorant', 'replace deodarant cap', 'untwist the deodorant base', 'put deodorant on table']","generate_until","[""The patient performs a series of movements with their right arm, guided by the therapist. They start with their arm resting on the table, then lift and move the arm in various directions, including forward, backward, and to the side. The patient repeats these movements several times, following the therapist's instructions.""]","The patient performs a series of movements with their right arm, guided by the therapist. They start with their arm resting on the table, then lift and move the arm in various directions, including forward, backward, and to the side. The patient repeats these movements several times, following the therapist's instructions.","10"
